index	label
1	Anterior_Commissure
2	Arcuate_Fasciculus_L
3	Arcuate_Fasciculus_R
4	Acoustic_Radiation_L
5	Acoustic_Radiation_R
6	Anterior_Thalamic_Radiation_L
7	Anterior_Thalamic_Radiation_R
8	Cingulum_subsection_Dorsal_L
9	Cingulum_subsection_Dorsal_R
10	Cingulum_subsection_Peri-genual_L
11	Cingulum_subsection_Peri-genual_R
12	Cingulum_subsection_Temporal_L
13	Cingulum_subsection_Temporal_R
14	Corticospinal_Tract_L
15	Corticospinal_Tract_R
16	Frontal_Aslant_Tract_L
17	Frontal_Aslant_Tract_R
18	Forceps_Major
19	Forceps_Minor
20	Fornix_L
21	Fornix_R
22	Inferior_Fronto-Occipital_Fasciculus_L
23	Inferior_Fronto-Occipital_Fasciculus_R
24	Inferior_Longitudinal_Fasciculus_L
25	Inferior_Longitudinal_Fasciculus_R
26	Middle_Cerebellar_Peduncle
27	Middle_Longitudinal_Fasciculus_L
28	Middle_Longitudinal_Fasciculus_R
29	Optic_Radiation_L
30	Optic_Radiation_R
31	Superior_Longitudinal_Fasciculus_1_L
32	Superior_Longitudinal_Fasciculus_1_R
33	Superior_Longitudinal_Fasciculus_2_L
34	Superior_Longitudinal_Fasciculus_2_R
35	Superior_Longitudinal_Fasciculus_3_L
36	Superior_Longitudinal_Fasciculus_3_R
37	Superior_Thalamic_Radiation_L
38	Superior_Thalamic_Radiation_R
39	Uncinate_Fasciculus_L
40	Uncinate_Fasciculus_R
41	Vertical_Occipital_Fasciculus_L
42	Vertical_Occipital_Fasciculus_R
