index	label
1	AF_left
2	AF_right
3	ATR_left
4	ATR_right
7	CC_rostrum
8	CC_genu
9	CC_rostral_body
10	CC_ant_midbody
11	CC_post_midbody
12	CC_isthmus
13	CC_splenium
14	CG_left
15	CG_right
16	CST_left
17	CST_right
20	FX_left
21	FX_right
22	ICP_left
23	ICP_right
26	ILF_left
27	ILF_right
28	MCP
29	MLF_left
30	MLF_right
31	OR_left
32	OR_right
35	SCP_left
36	SCP_right
37	SLF_III_left
38	SLF_III_right
39	SLF_II_left
40	SLF_II_right
41	SLF_I_left
42	SLF_I_right
43	STR_left
44	STR_right
71	UF_left
72	UF_right
