index	label
1	AF_left
2	AF_right
3	ATR_left
4	ATR_right
5	CA
6	CC
7	CC_1
8	CC_2
9	CC_3
10	CC_4
11	CC_5
12	CC_6
13	CC_7
14	CG_left
15	CG_right
16	CST_left
17	CST_right
18	FPT_left
19	FPT_right
20	FX_left
21	FX_right
22	ICP_left
23	ICP_right
24	IFO_left
25	IFO_right
26	ILF_left
27	ILF_right
28	MCP
29	MLF_left
30	MLF_right
31	OR_left
32	OR_right
33	POPT_left
34	POPT_right
35	SCP_left
36	SCP_right
37	SLF_III_left
38	SLF_III_right
39	SLF_II_left
40	SLF_II_right
41	SLF_I_left
42	SLF_I_right
43	STR_left
44	STR_right
45	ST_FO_left
46	ST_FO_right
47	ST_OCC_left
48	ST_OCC_right
49	ST_PAR_left
50	ST_PAR_right
51	ST_POSTC_left
52	ST_POSTC_right
53	ST_PREC_left
54	ST_PREC_right
55	ST_PREF_left
56	ST_PREF_right
57	ST_PREM_left
58	ST_PREM_right
59	T_OCC_left
60	T_OCC_right
61	T_PAR_left
62	T_PAR_right
63	T_POSTC_left
64	T_POSTC_right
65	T_PREC_left
66	T_PREC_right
67	T_PREF_left
68	T_PREF_right
69	T_PREM_left
70	T_PREM_right
71	UF_left
72	UF_right
