index	label
1	17Networks_LH_VisCent_Striate
2	17Networks_LH_VisCent_ExStr
3	17Networks_LH_VisPeri_StriCal
4	17Networks_LH_VisPeri_ExStrInf
5	17Networks_LH_VisPeri_ExStrSup
6	17Networks_LH_SomMotA
7	17Networks_LH_SomMotB_Cent
8	17Networks_LH_SomMotB_S2
9	17Networks_LH_SomMotB_Ins
10	17Networks_LH_SomMotB_Aud
11	17Networks_LH_DorsAttnA_TempOcc
12	17Networks_LH_DorsAttnA_ParOcc
13	17Networks_LH_DorsAttnA_SPL
14	17Networks_LH_DorsAttnB_TempOcc
15	17Networks_LH_DorsAttnB_PostC
16	17Networks_LH_DorsAttnB_FEF
17	17Networks_LH_DorsAttnB_PrCv
18	17Networks_LH_SalVentAttnA_ParOper
19	17Networks_LH_SalVentAttnA_FrOper
20	17Networks_LH_SalVentAttnA_Ins
21	17Networks_LH_SalVentAttnA_ParMed
22	17Networks_LH_SalVentAttnA_FrMed
23	17Networks_LH_SalVentAttnB_IPL
24	17Networks_LH_SalVentAttnB_PFCd
25	17Networks_LH_SalVentAttnB_PFCl
26	17Networks_LH_SalVentAttnB_Ins
27	17Networks_LH_SalVentAttnB_OFC
28	17Networks_LH_SalVentAttnB_PFCmp
29	17Networks_LH_LimbicA_TempPole
30	17Networks_LH_LimbicB_OFC
31	17Networks_LH_ContA_Temp
32	17Networks_LH_ContA_IPS
33	17Networks_LH_ContA_PFCd
34	17Networks_LH_ContA_PFCl
35	17Networks_LH_ContA_PFClv
36	17Networks_LH_ContA_Cingm
37	17Networks_LH_ContB_Temp
38	17Networks_LH_ContB_IPL
39	17Networks_LH_ContB_PFCd
40	17Networks_LH_ContB_PFCl
41	17Networks_LH_ContB_PFClv
42	17Networks_LH_ContB_PFCmp
43	17Networks_LH_ContC_pCun
44	17Networks_LH_ContC_Cingp
45	17Networks_LH_DefaultA_IPL
46	17Networks_LH_DefaultA_PFCd
47	17Networks_LH_DefaultA_pCunPCC
48	17Networks_LH_DefaultA_PFCm
49	17Networks_LH_DefaultB_Temp
50	17Networks_LH_DefaultB_IPL
51	17Networks_LH_DefaultB_PFCd
52	17Networks_LH_DefaultB_PFCl
53	17Networks_LH_DefaultB_PFCv
54	17Networks_LH_DefaultC_IPL
55	17Networks_LH_DefaultC_Rsp
56	17Networks_LH_DefaultC_PHC
57	17Networks_LH_DefaultD_TempPar
58	17Networks_RH_VisCent_Striate
59	17Networks_RH_VisCent_ExStr
60	17Networks_RH_VisPeri_StriCal
61	17Networks_RH_VisPeri_ExStrInf
62	17Networks_RH_VisPeri_ExStrSup
63	17Networks_RH_SomMotA
64	17Networks_RH_SomMotB_Cent
65	17Networks_RH_SomMotB_S2
66	17Networks_RH_SomMotB_Ins
67	17Networks_RH_SomMotB_Aud
68	17Networks_RH_DorsAttnA_TempOcc
69	17Networks_RH_DorsAttnA_ParOcc
70	17Networks_RH_DorsAttnA_SPL
71	17Networks_RH_DorsAttnB_TempOcc
72	17Networks_RH_DorsAttnB_PostC
73	17Networks_RH_DorsAttnB_FEF
74	17Networks_RH_DorsAttnB_PrCv
75	17Networks_RH_SalVentAttnA_ParOper
76	17Networks_RH_SalVentAttnA_PrC
77	17Networks_RH_SalVentAttnA_FrOper
78	17Networks_RH_SalVentAttnA_Ins
79	17Networks_RH_SalVentAttnA_ParMed
80	17Networks_RH_SalVentAttnA_FrMed
81	17Networks_RH_SalVentAttnB_IPL
82	17Networks_RH_SalVentAttnB_PFCd
83	17Networks_RH_SalVentAttnB_PFCl
84	17Networks_RH_SalVentAttnB_PFClv
85	17Networks_RH_SalVentAttnB_Ins
86	17Networks_RH_SalVentAttnB_PFCmp
87	17Networks_RH_SalVentAttnB_Cinga
88	17Networks_RH_LimbicA_TempPole
89	17Networks_RH_LimbicB_OFC
90	17Networks_RH_ContA_Temp
91	17Networks_RH_ContA_IPS
92	17Networks_RH_ContA_PFCd
93	17Networks_RH_ContA_PFCl
94	17Networks_RH_ContA_Cingm
95	17Networks_RH_ContB_Temp
96	17Networks_RH_ContB_IPL
97	17Networks_RH_ContB_PFCld
98	17Networks_RH_ContB_PFClv
99	17Networks_RH_ContB_PFCmp
100	17Networks_RH_ContC_pCun
101	17Networks_RH_ContC_Cingp
102	17Networks_RH_DefaultA_Temp
103	17Networks_RH_DefaultA_IPL
104	17Networks_RH_DefaultA_PFCd
105	17Networks_RH_DefaultA_pCunPCC
106	17Networks_RH_DefaultA_PFCm
107	17Networks_RH_DefaultB_Temp
108	17Networks_RH_DefaultB_AntTemp
109	17Networks_RH_DefaultB_PFCd
110	17Networks_RH_DefaultB_PFCv
111	17Networks_RH_DefaultC_IPL
112	17Networks_RH_DefaultC_Rsp
113	17Networks_RH_DefaultC_PHC
114	17Networks_RH_DefaultD_TempPar
115	17Networks_VisCent_Cerebellum_1
116	17Networks_VisPeri_Cerebellum_2
117	17Networks_SomMotA_Cerebellum_3
118	17Networks_SomMotB_Cerebellum_4
119	17Networks_DorsAttnA_Cerebellum_5
120	17Networks_DorsAttnB_Cerebellum_6
121	17Networks_SalVentAttnA_Cerebellum_7
122	17Networks_SalVentAttnB_Cerebellum_8
123	17Networks_LimbicA_Cerebellum_9
124	17Networks_LimbicB_Cerebellum_10
125	17Networks_ContC_Cerebellum_11
126	17Networks_ContA_Cerebellum_12
127	17Networks_ContB_Cerebellum_13
128	17Networks_DefaultD_Cerebellum_14
129	17Networks_DefaultC_Cerebellum_15
130	17Networks_DefaultA_Cerebellum_16
131	17Networks_DefaultB_Cerebellum_17
