index	label
1	Precentral_L_1
2	Precentral_R_2
3	Frontal_Sup_2_L_3
4	Frontal_Sup_2_R_4
5	Frontal_Mid_2_L_5
6	Frontal_Mid_2_R_6
7	Frontal_Inf_Oper_L_7
8	Frontal_Inf_Oper_R_8
9	Frontal_Inf_Tri_L_9
10	Frontal_Inf_Tri_R_10
11	Frontal_Inf_Orb_2_L_11
12	Frontal_Inf_Orb_2_R_12
13	Rolandic_Oper_L_13
14	Rolandic_Oper_R_14
15	Supp_Motor_Area_L_15
16	Supp_Motor_Area_R_16
17	Olfactory_L_17
18	Olfactory_R_18
19	Frontal_Sup_Medial_L_19
20	Frontal_Sup_Medial_R_20
21	Frontal_Med_Orb_L_21
22	Frontal_Med_Orb_R_22
23	Rectus_L_23
24	Rectus_R_24
25	OFCmed_L_25
26	OFCmed_R_26
27	OFCant_L_27
28	OFCant_R_28
29	OFCpost_L_29
30	OFCpost_R_30
31	OFClat_L_31
32	OFClat_R_32
33	Insula_L_33
34	Insula_R_34
37	Cingulate_Mid_L_37
38	Cingulate_Mid_R_38
39	Cingulate_Post_L_39
40	Cingulate_Post_R_40
41	Hippocampus_L_41
42	Hippocampus_R_42
43	ParaHippocampal_L_43
44	ParaHippocampal_R_44
45	Amygdala_L_45
46	Amygdala_R_46
47	Calcarine_L_47
48	Calcarine_R_48
49	Cuneus_L_49
50	Cuneus_R_50
51	Lingual_L_51
52	Lingual_R_52
53	Occipital_Sup_L_53
54	Occipital_Sup_R_54
55	Occipital_Mid_L_55
56	Occipital_Mid_R_56
57	Occipital_Inf_L_57
58	Occipital_Inf_R_58
59	Fusiform_L_59
60	Fusiform_R_60
61	Postcentral_L_61
62	Postcentral_R_62
63	Parietal_Sup_L_63
64	Parietal_Sup_R_64
65	Parietal_Inf_L_65
66	Parietal_Inf_R_66
67	SupraMarginal_L_67
68	SupraMarginal_R_68
69	Angular_L_69
70	Angular_R_70
71	Precuneus_L_71
72	Precuneus_R_72
73	Paracentral_Lobule_L_73
74	Paracentral_Lobule_R_74
75	Caudate_L_75
76	Caudate_R_76
77	Putamen_L_77
78	Putamen_R_78
79	Pallidum_L_79
80	Pallidum_R_80
83	Heschl_L_83
84	Heschl_R_84
85	Temporal_Sup_L_85
86	Temporal_Sup_R_86
87	Temporal_Pole_Sup_L_87
88	Temporal_Pole_Sup_R_88
89	Temporal_Mid_L_89
90	Temporal_Mid_R_90
91	Temporal_Pole_Mid_L_91
92	Temporal_Pole_Mid_R_92
93	Temporal_Inf_L_93
94	Temporal_Inf_R_94
95	Cerebellum_Crus1_L_95
96	Cerebellum_Crus1_R_96
97	Cerebellum_Crus2_L_97
98	Cerebellum_Crus2_R_98
99	Cerebellum_3_L_99
100	Cerebellum_3_R_100
101	Cerebellum_4_5_L_101
102	Cerebellum_4_5_R_102
103	Cerebellum_6_L_103
104	Cerebellum_6_R_104
105	Cerebellum_7b_L_105
106	Cerebellum_7b_R_106
107	Cerebellum_8_L_107
108	Cerebellum_8_R_108
109	Cerebellum_9_L_109
110	Cerebellum_9_R_110
111	Cerebellum_10_L_111
112	Cerebellum_10_R_112
113	Vermis_1_2_113
114	Vermis_3_114
115	Vermis_4_5_115
116	Vermis_6_116
117	Vermis_7_117
118	Vermis_8_118
119	Vermis_9_119
120	Vermis_10_120
121	Thal_AV_L_121
122	Thal_AV_R_122
123	Thal_LP_L_123
124	Thal_LP_R_124
125	Thal_VA_L_125
126	Thal_VA_R_126
127	Thal_VL_L_127
128	Thal_VL_R_128
129	Thal_VPL_L_129
130	Thal_VPL_R_130
131	Thal_IL_L_131
132	Thal_IL_R_132
133	Thal_Re_L_133
134	Thal_Re_R_134
135	Thal_MDm_L_135
136	Thal_MDm_R_136
137	Thal_MDl_L_137
138	Thal_MDl_R_138
139	Thal_LGN_L_139
140	Thal_LGN_R_140
141	Thal_MGN_L_141
142	Thal_MGN_R_142
143	Thal_PuI_L_143
144	Thal_PuI_R_144
145	Thal_PuM_L_145
146	Thal_PuM_R_146
147	Thal_PuA_L_147
148	Thal_PuA_R_148
149	Thal_PuL_L_149
150	Thal_PuL_R_150
151	ACC_sub_L_151
152	ACC_sub_R_152
153	ACC_pre_L_153
154	ACC_pre_R_154
155	ACC_sup_L_155
156	ACC_sup_R_156
157	N_Acc_L_157
158	N_Acc_R_158
159	VTA_L_159
160	VTA_R_160
161	SN_pc_L_161
162	SN_pc_R_162
163	SN_pr_L_163
164	SN_pr_R_164
165	Red_N_L_165
166	Red_N_R_166
167	LC_L_167
168	LC_R_168
169	Raphe_D_169
170	Raphe_M_170
